,col1,col2,col3,col4,col5,col6
chuveirinho,#2E230F,#3B0215,#E08515,#9D5877,#6B6164,#B6823E
cer2,#471001,#8a491f,#d79e50,#b7bcc0,#627e9a,#989FCE
diamantina,#275D8C,#D99D55,#F2BF91,#733E1F,#0D0D0D,#6D4D24
chuveirinho_bright,#034873,#E7A712,#1B3819,#8C622E,#EB7318,#2F3341
cafe_damanha,#8E6F85,#034873,#331A11,#C26B07,#4C5F3E,#B29B66
janela,#B5D2E0,#903E27,#468C4B,#9F832E,#313C3A,#313C3A
santa_barbara,#1B1E23,#2A2B26,#47493E,#5DA59A,#B9F9E8,#F0FEFE
couros,#11538C,#1F698F,#BF9169,#592715,#D9A796,#DA767E
couros_bright,#115D8C,#BF9169,#592715,#D9A796,#C27428,#0D0D0D
caliandra,#A65B92,#F1A2F2,#A7D5F2,#99A63C,#888C65,#0B788F
caliandra_II,#AD0F7C,#F55552,#E5B112,#465902,#0A5C57,#4D1800
cariocas,#A2293E,#ADC9EE,#2E62A6,#C2A91D,#C1A07B,#925552
parque,#4394D3,#646972,#A37F2B,#62753E,#752A02,#65453A
laelia,#B7A7F2,#382F73,#F2E205,#F2B705,#D98E04,#986768
